                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                   1.06,                0.51559,                 1.1652,                0.97319,                0.94934,                0.97567,                 0.6774,                  1.167,                0.43922,                 1.1818,               0.001288,               0.001288,               0.001288
                     90,                   1.06,                0.51055,                 1.1626,                0.97382,                0.94934,                0.97573,                0.67743,                 1.1667,                0.43898,                 1.1814,               0.001189,               0.001189,               0.001189
                     91,                 1.0484,                0.43545,                 1.1956,                0.97354,                  0.949,                0.97639,                0.67783,                 1.1659,                0.43866,                  1.181,                0.00109,                0.00109,                0.00109
                     92,                 1.0411,                0.42949,                 1.1923,                 0.9735,                0.94887,                0.97632,                0.67895,                 1.1645,                  0.438,                 1.1801,               0.000991,               0.000991,               0.000991
                     93,                  1.033,                 0.4224,                 1.1828,                 0.9734,                0.94887,                0.97654,                0.67849,                 1.1639,                0.43734,                 1.1798,               0.000892,               0.000892,               0.000892
                     94,                 1.0282,                0.41771,                 1.1786,                0.97328,                0.94887,                0.97584,                0.67842,                 1.1631,                 0.4372,                 1.1794,               0.000793,               0.000793,               0.000793
                     95,                 1.0212,                0.41348,                 1.1746,                0.97354,                0.94933,                0.97605,                0.67902,                 1.1624,                0.43689,                 1.1789,               0.000694,               0.000694,               0.000694
                     96,                 1.0168,                0.40836,                 1.1736,                0.97403,                0.94982,                0.97642,                0.67904,                 1.1616,                 0.4365,                 1.1784,               0.000595,               0.000595,               0.000595
                     97,                  1.016,                0.40599,                 1.1713,                0.97451,                0.94934,                0.97731,                0.67929,                 1.1607,                0.43579,                  1.178,               0.000496,               0.000496,               0.000496
                     98,                 1.0113,                0.40299,                 1.1705,                0.97308,                0.95263,                0.97743,                0.68007,                 1.1599,                0.43579,                 1.1775,               0.000397,               0.000397,               0.000397
                     99,                 1.0082,                0.40082,                 1.1672,                0.97315,                0.95205,                0.97695,                0.68078,                 1.1587,                0.43554,                  1.177,               0.000298,               0.000298,               0.000298
                    100,                 1.0021,                0.39695,                 1.1633,                0.97409,                0.95236,                0.97766,                 0.6816,                 1.1579,                0.43502,                 1.1765,               0.000199,               0.000199,               0.000199
